,Divorced,Married,Parther,Separated,Never,Widowed
0,45.43331,10.772876,21.002731,8.591988,8.381183,5.817909
1,19.152653,17.17885,17.789457,19.708603,10.551447,15.618989
2,22.839817,10.448573,38.963486,11.145145,9.13397,7.4690094
3,8.113124,19.038656,7.941491,24.42589,18.141283,22.339552
4,6.9186354,25.503332,8.053903,26.168547,9.783984,23.571598
5,18.951609,24.902157,19.029469,19.17532,7.7149115,10.226539
6,18.784721,11.713483,41.006348,11.900319,10.458554,6.136583
7,5.334739,13.544496,9.536534,23.826954,11.370245,36.38704
8,7.5797997,11.381883,11.011868,14.8329735,46.97198,8.221497
9,4.842089,14.310904,7.910494,22.506325,12.071734,38.35845
10,7.2044687,29.921246,8.106093,26.522217,10.825719,17.42026
11,7.243888,14.002292,9.656611,16.843925,41.468487,10.784792
12,5.774207,10.967903,9.501813,18.885561,30.23225,24.638262
13,6.295579,10.953977,7.714245,17.138723,9.193589,48.703888
14,17.056742,10.852531,38.61525,11.956982,15.095165,6.4233327
15,12.110415,10.596494,40.460583,14.300842,13.615422,8.916246
16,13.451714,9.742751,37.428143,13.700906,15.655366,10.02113
17,8.750754,28.221378,14.912498,27.448761,9.858867,10.807736
18,35.54448,21.128859,13.845558,12.443653,11.2309475,5.806503
19,9.088483,12.726109,12.768979,19.484266,8.415827,37.51633
20,11.299784,8.625606,22.377966,13.626082,30.636576,13.433992
21,14.260343,16.432425,19.687347,21.859276,10.341513,17.419104
22,5.5200534,13.123176,7.0288024,20.747908,12.125156,41.454903
23,21.375486,12.629613,37.755108,12.53928,8.492684,7.207831
24,13.03844,16.370708,34.293762,17.239906,11.69974,7.357445
25,28.159363,13.776699,16.842104,14.821395,9.179666,17.22077
26,9.654711,9.50847,26.022112,16.330702,21.55288,16.93113
27,14.36611,18.905945,16.41478,22.066776,8.501567,19.744823
28,22.894516,16.591526,16.851915,14.707574,21.806868,7.1476026
29,14.981805,11.050413,37.20539,12.706441,17.32209,6.73386
30,14.162749,19.79523,29.303371,18.820671,8.866708,9.051267
31,5.4536524,22.37766,9.052723,28.615252,12.990941,21.50977
32,21.035555,21.882042,25.978926,15.687005,8.963065,6.453411
33,6.582295,12.426334,12.354032,19.187042,38.302185,11.14811
34,5.0198607,12.302882,8.161339,21.739481,15.521229,37.2552
35,8.595058,9.629295,12.205815,16.949266,21.253565,31.366999
36,13.212492,10.502628,24.570948,12.802598,31.711456,7.1998744
37,6.6347704,28.896328,11.01975,28.228832,12.015599,13.204718
38,18.72804,29.301092,8.8712845,18.997364,10.824385,13.2778425
39,6.0973296,17.545315,9.102728,24.849861,9.107752,33.297012
40,13.622911,12.054183,41.31613,14.441782,9.900667,8.664328
41,15.476777,12.784058,40.01444,13.494785,11.360864,6.869088
42,12.534075,26.225576,21.155754,21.184008,11.490412,7.4101696
43,9.04803,15.069641,18.4751,17.536888,32.583923,7.2864165
44,13.132059,34.878723,14.134102,20.618048,9.479109,7.7579536
45,12.312652,23.944927,11.818705,20.390175,23.337622,8.195915
46,11.44475,36.53823,9.421357,22.29756,9.154771,11.143332
47,40.279995,18.531704,16.361826,10.907031,8.543915,5.375524
48,9.578216,25.623941,17.585457,26.224895,11.915448,9.072045
49,17.30413,15.7944355,11.385494,15.602515,29.622072,10.29135
