,Divorced,Married,Parther,Separated,Never,Widowed
0,16.95382,16.408138,16.251785,17.016548,16.679806,16.689901
1,16.700523,16.464823,16.624166,16.752867,16.63927,16.818352
2,16.52847,16.790195,16.670631,16.601744,16.702883,16.706078
3,16.76294,16.634321,16.329348,16.879631,16.730322,16.663446
4,16.852276,16.389603,16.394533,16.925919,16.66211,16.775558
5,16.643526,16.900505,16.728188,16.53504,16.693302,16.499434
6,16.453714,16.840942,17.123627,16.330664,16.620272,16.630775
7,16.941372,16.42011,16.217882,17.035694,16.688824,16.69611
8,16.918655,16.418158,16.388565,16.920767,16.658287,16.695564
9,16.404642,16.872597,16.974083,16.4056,16.657639,16.685434
10,16.944717,16.486843,16.415268,16.873009,16.66236,16.617805
11,16.481401,16.797928,17.09815,16.357487,16.622963,16.642073
12,16.44164,16.73195,17.074593,16.391502,16.61969,16.740625
13,16.376986,16.922897,17.04392,16.339115,16.66822,16.648867
14,16.724722,16.595596,16.35971,16.87592,16.71632,16.727732
15,16.35716,16.870794,17.08922,16.330338,16.652985,16.69951
16,16.388979,16.887709,17.127876,16.304443,16.643446,16.647549
17,16.729324,16.655104,16.368559,16.85048,16.72397,16.672567
18,16.662958,16.743383,16.888437,16.49197,16.640215,16.573038
19,16.722311,16.648407,16.36784,16.85091,16.727356,16.683176
20,16.40063,16.934332,17.053709,16.330587,16.665539,16.615196
21,16.915972,16.463097,16.373922,16.906483,16.681614,16.658916
22,16.978096,16.470022,16.231628,17.010065,16.688623,16.621563
23,16.42182,16.81271,17.109968,16.350151,16.618439,16.686913
24,16.538815,16.620693,16.889246,16.538528,16.624332,16.788376
25,16.923655,16.502563,16.473835,16.84173,16.644497,16.61372
26,16.794174,16.417112,16.464914,16.862276,16.670944,16.790579
27,16.670141,16.646244,16.446028,16.807323,16.70591,16.724346
28,16.4075,16.851141,16.999172,16.378222,16.680323,16.683643
29,16.884329,16.442425,16.22709,17.01446,16.707186,16.724508
30,16.370565,16.846132,17.12885,16.317034,16.637909,16.699509
31,16.806105,16.692772,16.663595,16.651506,16.661516,16.524504
