,Q1,Q3,Q4,Q2
0,49.56178,9.374266,29.699192,11.364768
1,11.895459,64.14308,12.271633,11.689825
2,12.876836,63.81158,13.463614,9.847973
3,28.85879,19.190987,30.400532,21.549683
4,43.181034,8.236741,31.337435,17.244787
5,21.88167,45.744904,24.527126,7.846301
6,18.43393,42.95731,31.627851,6.980908
7,15.262241,13.375388,9.982033,61.38034
8,43.308743,12.99173,35.695442,8.004091
9,19.080252,51.486374,22.1115,7.3218756
10,17.546906,53.800236,21.181587,7.471273
11,18.807474,46.966778,27.117548,7.1082025
12,47.165237,9.656179,31.191784,11.986802
13,14.276321,8.949735,8.425999,68.347946
14,13.355576,60.00498,15.798046,10.841392
15,16.619835,8.427315,9.490067,65.46278
16,48.429436,8.881008,28.112185,14.577365
17,13.999345,10.31355,8.196148,67.49096
18,26.705954,12.452209,53.956963,6.884873
19,12.189977,63.50482,11.763148,12.542044
20,12.375418,64.20189,11.596457,11.82624
21,12.538883,63.142574,15.16345,9.155098
22,12.633573,62.850876,15.147951,9.3675995
23,48.46571,11.811478,29.236639,10.48618
24,12.49323,52.995132,11.468764,23.042875
25,26.332458,28.227245,36.860638,8.5796585
26,24.709133,14.75175,47.61215,12.926962
27,14.677663,12.941278,7.9401784,64.44088
28,16.601562,48.938583,13.467385,20.992472
29,20.805544,50.069107,20.93697,8.188377
30,14.377785,10.419652,7.9865665,67.215996
31,12.569137,65.119736,12.146025,10.1651
32,48.100616,16.36522,23.60435,11.929817
33,13.718117,61.176254,17.004818,8.100817
34,15.172852,10.523675,8.431445,65.872025
35,44.800602,8.555853,30.49689,16.14666
36,40.096134,9.818955,41.99975,8.085165
37,15.459533,57.86125,18.371624,8.3076
38,13.355666,10.468383,8.050186,68.12577
39,31.969732,8.771291,16.35178,42.907196
40,38.228436,9.7200365,43.668404,8.383129
41,13.644336,40.035347,10.95362,35.36669
42,51.070095,10.731651,28.072166,10.126086
43,12.897827,62.485058,15.871084,8.74604
44,21.350626,19.710001,49.103252,9.836123
45,23.00705,9.101501,17.251049,50.6404
46,31.276325,17.938427,44.315216,6.470027
47,13.227199,61.568745,16.592043,8.612004
48,36.47705,8.276452,42.640705,12.605791
49,14.009014,61.700512,16.186836,8.103634
50,14.568681,53.088253,24.865587,7.4774785
51,38.20418,8.680427,43.75504,9.360351
52,44.27985,9.5454,36.681293,9.493456
53,17.926117,49.812283,25.276459,6.9851427
54,13.840556,13.370827,7.7107444,65.07787
55,14.0625925,9.1108,8.275333,68.55128
56,49.25354,13.342392,24.026752,13.377317
57,23.671068,10.455608,13.386449,52.486874
58,23.26071,13.491506,53.725372,9.52241
59,13.927704,31.901545,10.213888,43.956863
60,25.185581,12.292341,53.535385,8.986692
61,24.637966,38.505096,22.890558,13.966385
62,13.193374,34.65717,10.587825,41.56163
63,40.18144,21.374117,20.133047,18.311401
64,15.756898,21.445318,10.5703535,52.227432
65,14.108525,9.628572,9.898641,66.364265
66,31.779945,19.020943,13.98617,35.212936
67,15.923251,55.81742,19.722132,8.537199
68,26.89048,14.1555605,52.831333,6.1226206
69,49.316536,13.212021,19.814503,17.656933
70,12.482337,54.659386,11.412793,21.445482
71,28.453964,14.884439,42.801086,13.860509
72,29.851467,13.548978,50.308258,6.291293
73,44.219017,8.606922,22.203241,24.970816
74,50.21051,11.572779,28.373629,9.843078
75,41.05952,9.016908,19.07909,30.844482
76,22.90463,20.062729,50.65285,6.37979
77,47.756855,11.4549675,29.090998,11.697184
78,30.588987,9.821923,40.839706,18.749378
79,22.055574,8.464611,11.042493,58.43733
80,14.895101,10.964205,8.109258,66.03144
81,13.713813,14.293352,10.620831,61.372005
82,12.167112,64.23643,14.322138,9.274324
83,16.39944,8.722324,9.837336,65.0409
84,20.02785,28.947521,43.951893,7.0727406
85,13.589665,58.785583,19.844196,7.7805476
86,48.538383,11.333856,27.253824,12.873939
87,25.323322,26.353922,24.198942,24.123812
88,35.519894,9.43116,44.701923,10.347023
89,35.79041,10.7372465,19.56454,33.907803
90,47.304405,15.461794,27.01765,10.2161455
91,15.974,10.956991,10.79459,62.274414
92,13.142094,60.96058,11.336989,14.56034
93,13.22005,12.019584,8.388088,66.372284
94,47.269184,10.244565,31.549809,10.936451
95,37.006897,26.776573,22.337635,13.878888
96,13.687327,58.7578,19.823137,7.731741
97,13.785752,61.808437,16.514734,7.891084
98,46.247616,9.337423,30.713686,13.701275
99,16.065792,52.225174,24.299612,7.4094334
100,35.89991,20.506283,35.880764,7.7130423
101,16.439875,58.73068,15.672445,9.156995
102,27.861734,37.735497,25.956244,8.446528
103,12.374977,11.029736,8.193208,68.40208
104,39.859383,9.265039,42.091763,8.783811
105,35.87815,10.244889,19.710674,34.166286
106,12.75184,64.68887,13.901128,8.658157
107,13.263548,10.199514,8.11603,68.420906
108,25.850895,10.741917,54.217678,9.189511
109,50.949375,10.2645445,25.869587,12.916496
110,16.066605,45.65705,14.24841,24.027937
111,12.627372,11.409544,8.571889,67.39119
112,45.083218,8.580093,31.94913,14.387562
113,23.327553,40.226288,15.070025,21.37613
114,35.55967,10.153159,46.638893,7.6482787
115,38.387363,14.835106,39.14831,7.6292195
116,25.958979,12.334746,54.4594,7.2468815
117,36.214375,10.095561,15.417741,38.27232
118,32.31672,9.976569,50.201313,7.505405
119,33.710155,7.8170285,19.36393,39.108887
120,39.41378,13.250962,39.517464,7.817798
121,26.80211,10.600517,54.184883,8.41249
122,31.959364,10.197325,50.367558,7.475756
123,20.637642,8.487945,10.711315,60.163097
124,26.77875,10.32766,54.112392,8.781205
125,43.07903,9.307298,36.98353,10.630155
126,16.203444,56.05633,20.086723,7.6535
127,19.196667,32.4983,24.760086,23.544949
128,12.783514,62.441742,15.499984,9.274752
129,13.67366,9.219815,8.466807,68.63972
130,36.484276,10.382739,45.534466,7.5985274
131,24.31231,12.075647,53.313698,10.298349
132,34.565037,10.767112,47.729477,6.9383726
133,15.882331,16.097017,12.666183,55.35447
134,26.14728,13.618737,53.675484,6.5584908
135,49.905224,12.292519,26.987223,10.81503
136,35.3802,9.690017,36.431866,18.497913
137,25.564405,29.859123,30.485191,14.091277
138,13.723369,9.434078,9.444399,67.39816
139,39.237957,8.80103,41.512444,10.448566
140,16.737206,57.283337,13.674728,12.304733
141,40.595528,10.437962,40.919422,8.047078
142,13.400672,25.73829,8.944067,51.916973
143,25.270315,16.768042,45.05708,12.904565
144,32.551556,27.896675,23.707844,15.843926
145,34.2199,10.495898,19.994545,35.289654
146,29.131048,26.853954,37.107037,6.9079533
147,30.448395,17.481848,21.059237,31.010529
148,14.957537,9.0028715,9.089284,66.95031
149,18.91431,9.799761,9.239595,62.046337
150,13.59559,9.921289,8.552805,67.93031
151,15.025798,59.41341,17.918161,7.6426325
152,36.36277,10.152524,46.001728,7.4829793
153,20.40021,30.751741,42.27263,6.575419
154,26.244827,13.87781,53.425354,6.452008
155,13.416741,61.61343,17.071716,7.898116
156,35.102222,13.947982,43.936123,7.01368
157,13.679706,43.747467,11.443965,31.128872
158,27.804201,11.04429,53.35596,7.7955527
159,44.17931,9.959611,19.424225,26.436853
