,Male,Female
0,70.862755,29.137245
1,88.026794,11.973214
2,8.389314,91.61069
3,16.437302,83.5627
4,40.96794,59.032066
5,92.07748,7.922529
6,92.97874,7.0212617
7,50.122444,49.877556
8,61.212475,38.78752
9,92.644394,7.355608
10,7.8098497,92.190155
11,8.729013,91.27098
12,8.10114,91.89886
13,93.27917,6.7208347
14,7.4367533,92.56325
15,92.43363,7.5663695
16,92.210175,7.7898254
17,9.296047,90.70396
18,8.643141,91.356865
19,12.672727,87.32728
20,87.15399,12.846011
21,6.733551,93.26645
22,7.662361,92.33765
23,7.4983053,92.50169
24,7.4224496,92.577545
25,93.09032,6.9096828
26,9.673017,90.32698
27,7.784213,92.21579
28,91.92198,8.078018
29,91.389854,8.610153
30,31.314463,68.68554
31,8.852732,91.14727
32,92.90359,7.0964074
33,10.3208475,89.67916
34,8.057861,91.94214
35,7.6336765,92.36632
36,92.425476,7.5745225
37,8.7757435,91.22426
38,93.307686,6.69232
39,8.968883,91.03111
40,92.51367,7.4863315
41,85.81073,14.189275
42,90.69417,9.305831
43,7.307411,92.69259
44,7.0998406,92.900154
45,93.19198,6.8080225
46,9.550712,90.44929
47,88.61491,11.385092
48,11.016914,88.983086
49,92.44622,7.553784
50,35.998936,64.00107
51,91.6533,8.346701
52,91.611,8.388999
53,6.8527393,93.14726
54,8.140639,91.85936
55,8.158223,91.84178
56,92.79302,7.20698
57,8.779527,91.220474
58,93.12184,6.8781657
59,7.6742687,92.32574
60,8.215201,91.7848
61,6.9852724,93.014725
62,7.932304,92.0677
63,90.98662,9.013378
64,26.074167,73.92583
65,92.48545,7.5145483
66,18.05737,81.94263
67,23.976892,76.02311
68,90.80476,9.195232
69,7.514934,92.48507
70,51.245014,48.754982
71,7.4449897,92.555016
72,92.23315,7.7668533
73,7.9562383,92.04376
74,7.791413,92.20859
75,10.603409,89.39659
76,84.89309,15.106911
77,7.604864,92.39514
78,8.727427,91.27257
79,15.945247,84.054756
80,7.234393,92.7656
81,7.4000487,92.59995
82,93.036194,6.9638143
83,89.24498,10.755019
84,92.66297,7.337024
85,7.2723484,92.727646
86,9.738028,90.26197
87,90.77869,9.22132
88,92.03144,7.968563
89,8.198667,91.80133
90,6.809208,93.190796
91,9.857247,90.14275
92,6.6797986,93.320206
93,42.209415,57.790585
94,92.77862,7.221383
95,67.82262,32.177387
96,9.971844,90.02816
97,14.378505,85.62149
98,65.38425,34.61576
99,12.687479,87.31252
100,60.95242,39.04758
101,67.27806,32.721943
102,92.861496,7.1385
103,91.981964,8.018038
104,91.33814,8.661854
105,8.450796,91.54921
106,7.4310756,92.56893
107,92.979,7.0210047
108,7.5110598,92.48894
