,Male,Female
0,34.377598,65.622406
1,73.41596,26.584038
2,78.47653,21.523468
3,7.2089543,92.79105
4,8.011596,91.9884
5,92.17977,7.8202286
6,91.83033,8.169672
7,19.008415,80.99159
8,8.935235,91.064766
9,85.62268,14.377316
10,6.9025383,93.097466
11,28.625801,71.3742
12,6.883503,93.11649
13,91.5412,8.458805
14,25.151527,74.84847
15,92.838264,7.161734
16,92.50271,7.497295
17,10.249591,89.75041
18,6.9736376,93.02636
19,6.9153137,93.08468
20,92.65207,7.3479323
21,8.535829,91.46417
22,14.797356,85.20264
23,6.9600234,93.03998
24,6.9944277,93.00558
25,89.71514,10.284853
26,33.873714,66.12629
27,88.94097,11.059026
28,89.91348,10.086521
29,30.927177,69.072815
30,20.032736,79.96726
31,7.591458,92.40855
32,74.53905,25.460953
33,89.70896,10.291037
34,9.632221,90.36778
35,7.426288,92.573715
36,92.83071,7.1692853
37,18.709412,81.29059
38,83.45458,16.545412
39,6.9380774,93.06192
40,92.925125,7.074873
41,88.14633,11.853665
42,93.04847,6.9515333
43,13.757321,86.242676
44,9.109046,90.89095
45,91.00838,8.991619
46,59.69203,40.30797
47,91.842674,8.157327
48,7.911723,92.08828
49,92.97296,7.027041
50,10.743685,89.25632
51,83.92183,16.078175
52,91.3522,8.647795
53,7.0348806,92.96511
54,7.0059323,92.99407
55,6.921587,93.07841
56,93.065544,6.934464
57,12.434187,87.56582
58,71.561554,28.438452
59,34.42496,65.57504
60,8.229529,91.77047
61,7.0934453,92.906555
62,40.48172,59.518276
63,92.737236,7.26276
64,18.46136,81.53864
65,89.667305,10.332699
66,8.022213,91.97779
67,7.0520887,92.947914
68,91.82933,8.17067
69,8.287772,91.71223
70,88.68355,11.316459
71,11.345949,88.654045
72,92.61338,7.386617
73,11.952237,88.04777
74,12.414223,87.58578
75,7.4221687,92.57783
76,77.23156,22.768442
77,44.863457,55.136543
78,6.928353,93.071655
79,76.69971,23.300293
80,6.8791895,93.12081
81,7.463638,92.53636
82,88.16489,11.83511
83,33.780876,66.219124
84,92.968605,7.031389
85,19.490484,80.50952
86,8.040937,91.95906
87,93.08143,6.9185734
88,51.229115,48.770885
89,25.40144,74.59856
90,8.777521,91.22248
91,7.3337374,92.66626
92,9.794142,90.20586
93,16.400278,83.59973
94,92.63728,7.3627157
95,90.33345,9.6665535
96,7.132709,92.867294
97,85.65519,14.344813
98,8.537319,91.462685
99,22.36928,77.63072
100,21.928055,78.07195
101,10.213117,89.78688
102,91.99195,8.008049
103,64.92806,35.071934
104,92.483864,7.516136
105,8.972343,91.02766
106,8.785687,91.21432
107,85.266045,14.73395
108,8.209683,91.79032
109,6.929344,93.070656
110,6.9236665,93.07634
111,92.3198,7.6801963
112,7.340236,92.65977
113,91.08313,8.91687
114,63.368942,36.631058
115,12.4022875,87.59771
116,7.1335764,92.866425
117,91.88466,8.115339
118,92.50837,7.491628
119,93.087456,6.912544
120,92.56626,7.4337363
121,91.914764,8.085242
122,91.14743,8.852568
123,90.975845,9.024154
124,7.2962294,92.70377
125,8.60819,91.39181
126,88.444435,11.555559
127,51.700497,48.299503
128,11.686796,88.3132
129,92.8622,7.1378036
130,92.960686,7.039316
131,9.234334,90.76567
132,6.8561115,93.14389
133,32.385532,67.61447
134,19.223358,80.776634
135,90.78567,9.214327
136,7.253483,92.74651
137,93.07915,6.920857
138,12.302744,87.69726
139,8.215796,91.78421
140,7.041404,92.958595
141,6.988161,93.01183
142,9.10629,90.89371
143,20.86922,79.130775
144,7.0781045,92.9219
145,7.562546,92.437454
146,91.93357,8.066427
147,92.114426,7.8855743
148,6.953156,93.04685
149,8.267899,91.73209
150,14.318707,85.68129
151,7.9773307,92.022675
152,92.87855,7.121452
153,91.80286,8.197145
154,92.58331,7.4166894
155,7.9620175,92.03799
156,7.7100844,92.28991
157,6.938697,93.06131
158,47.226624,52.773373
159,86.01202,13.987982
160,92.21707,7.7829227
161,91.36037,8.639633
162,91.278465,8.7215395
163,49.72631,50.273693
164,92.53023,7.469768
165,87.956985,12.043017
166,91.58373,8.4162655
167,55.902546,44.09745
168,69.12691,30.873098
169,9.395927,90.604065
170,73.478,26.521996
171,90.84112,9.158882
172,10.9587555,89.041245
173,12.1808815,87.819115
174,92.54993,7.450072
175,7.2355824,92.76441
176,8.509693,91.4903
177,6.934223,93.06577
178,9.010518,90.98948
179,75.36857,24.63143
180,7.591931,92.408066
181,15.736667,84.26333
182,93.115685,6.8843136
183,79.701004,20.299
184,88.94899,11.051015
185,15.498607,84.50139
