,White,Black,Mexican,Other,Hispanic
0,15.648873,7.827548,31.31931,15.40947,29.794794
1,42.714886,19.125431,24.256847,6.649041,7.253802
2,36.286762,30.239105,16.3326,9.462244,7.679294
3,21.732613,8.429035,46.457226,10.159464,13.221656
4,7.281958,7.994646,10.017352,43.714264,30.991772
5,15.254709,52.106125,8.969704,13.300228,10.369233
6,44.304234,18.433601,20.469856,8.80122,7.991085
7,7.351809,8.427528,9.571267,38.402924,36.246468
8,7.633032,7.2278633,12.269115,28.334192,44.5358
9,15.289871,29.398499,13.33864,19.2129,22.760088
10,8.601391,8.35593,12.640315,23.212633,47.189728
11,7.635078,7.8072333,11.236205,42.90883,30.412659
12,15.7677965,52.126205,9.185837,12.871562,10.048606
13,19.890265,10.413745,33.47916,18.912975,17.30386
14,42.58351,17.256094,23.892889,7.3874755,8.880029
15,19.937918,7.951054,40.711098,10.647095,20.752838
16,18.100027,9.870487,30.493296,16.126846,25.409344
17,14.830795,7.799256,29.683844,19.244898,28.441212
18,46.050163,14.772299,22.886848,7.868342,8.422336
19,25.187605,8.39111,43.737183,8.627614,14.056483
20,34.276154,20.996866,19.514128,12.971492,12.241362
21,42.186283,22.1562,21.632786,7.090105,6.934618
22,23.416698,17.899324,24.73801,15.854353,18.091608
23,44.6186,17.644217,22.225792,7.9467115,7.5646796
24,7.0687237,8.30573,10.069143,43.641537,30.914858
25,18.580605,51.165127,10.179548,10.910492,9.164234
26,20.643238,50.485374,11.422648,9.408159,8.040576
27,32.07255,10.018973,40.287266,7.289855,10.331355
28,39.83942,18.349688,24.132261,9.898624,7.780005
29,38.64306,12.408064,33.645218,6.741046,8.5626135
30,19.196852,51.98464,10.649976,9.673473,8.495056
31,9.377456,6.831949,18.93756,28.88766,35.96537
32,41.682957,23.694538,17.827698,8.871524,7.923284
33,17.004354,15.1418705,19.134308,17.99413,30.725342
34,17.165249,52.38067,9.405082,11.797706,9.251297
35,9.675339,8.226496,13.99747,36.97089,31.129814
36,16.39309,24.037924,12.23155,32.311684,15.025748
37,16.02511,9.291196,26.87856,19.101316,28.703815
38,25.864899,45.093536,12.427579,8.775564,7.8384185
39,17.69653,9.482474,33.077644,13.032161,26.711187
40,36.745422,29.100105,15.848192,10.354906,7.951378
41,41.905262,15.125711,22.859478,10.504453,9.605089
42,18.121037,8.909482,41.686504,11.534402,19.748575
43,35.277958,9.949689,36.551167,8.008175,10.213011
44,33.178257,16.057428,21.162083,16.408958,13.193271
45,43.10649,19.587008,23.229698,6.827621,7.2491827
46,42.236946,17.442112,24.578604,8.308175,7.434161
