,Male,Female
0,59.37869,40.621307
1,89.907776,10.092222
2,90.61904,9.380965
3,85.4207,14.579302
4,16.331715,83.66828
5,91.46029,8.539713
6,91.6755,8.3245
7,91.717766,8.282227
8,78.79306,21.20694
9,33.024914,66.97509
10,8.196687,91.803314
11,8.152761,91.84724
12,85.36166,14.63835
13,8.173464,91.82654
14,90.75176,9.248244
15,50.076866,49.92314
16,91.4991,8.50091
17,8.228753,91.77125
18,8.083937,91.91606
19,83.889366,16.110634
20,91.821365,8.178631
21,91.769966,8.230038
22,64.55811,35.441895
23,8.192378,91.807625
24,44.381824,55.61817
25,91.67998,8.32002
26,8.481769,91.518234
27,10.511494,89.48851
28,90.71636,9.283639
29,8.319645,91.68035
30,90.6246,9.375389
31,16.088512,83.91148
32,12.282225,87.71778
33,91.837425,8.162575
34,8.256789,91.74321
35,74.36235,25.63765
36,8.333321,91.66667
37,19.42101,80.57899
38,91.746155,8.253848
39,67.308304,32.691704
40,91.68446,8.31554
41,28.385426,71.61458
42,91.693054,8.306939
43,8.36224,91.637764
44,30.846622,69.15337
45,91.730225,8.269776
46,8.070474,91.92953
47,60.003235,39.99676
48,51.13677,48.86324
49,90.34067,9.659331
50,8.581177,91.41882
51,86.286766,13.713233
52,79.41967,20.580324
53,8.194305,91.805695
54,77.60039,22.399614
55,8.335505,91.66449
56,32.508804,67.491196
57,8.466474,91.53353
58,91.72043,8.279573
59,8.215915,91.78409
60,8.212712,91.78729
61,90.621,9.379001
62,11.381748,88.618256
63,91.11377,8.886223
64,8.319602,91.6804
65,66.30481,33.695198
66,8.284409,91.7156
67,37.642403,62.357605
68,48.461308,51.538692
69,91.94206,8.057937
70,90.48346,9.516542
71,8.274133,91.72587
72,90.783905,9.216095
73,8.712595,91.28741
74,90.170425,9.829576
75,16.72942,83.27058
76,87.53674,12.463262
77,91.87815,8.12185
78,8.110324,91.88968
79,9.244118,90.75588
80,29.530754,70.469246
81,8.275477,91.724525
82,91.80444,8.195556
83,91.64752,8.352472
84,91.60466,8.395333
85,75.33733,24.662663
86,8.383672,91.616325
87,91.8353,8.1647005
88,47.337547,52.662457
89,8.198882,91.80112
90,25.397432,74.60258
91,8.210024,91.78997
92,8.320309,91.679695
93,91.30752,8.692485
94,8.742794,91.25721
95,84.76157,15.238422
96,83.95366,16.046343
97,91.63741,8.362581
98,14.77833,85.22167
99,8.108276,91.89172
100,91.21289,8.787106
