,Q1,Q3,Q4,Q2
0,82.57876,3.0506465,9.084093,5.2864985
1,3.2812588,87.584,4.501033,4.633704
2,3.8256269,85.94929,6.467875,3.757215
3,10.4995985,4.281332,82.42353,2.7955375
4,80.081894,3.3244665,9.533322,7.060324
5,6.1349053,79.79549,7.6892757,6.3803306
6,3.721924,86.96464,5.5105286,3.8029141
7,3.4110346,88.11901,4.9077663,3.5621896
8,20.748913,8.127415,67.66542,3.4582515
9,11.594011,68.46377,9.144331,10.797897
10,3.570603,87.31234,5.392292,3.7247643
11,37.998264,8.698915,14.44957,38.853252
12,82.617455,2.8660953,8.88279,5.633656
13,80.61153,2.936619,10.212601,6.2392554
14,10.410672,6.210512,80.61732,2.7615
15,19.447361,8.63509,55.76586,16.151684
16,18.988186,8.335868,69.02574,3.6502068
17,6.8424644,4.299301,2.906688,85.951546
18,81.65644,3.213974,8.448256,6.681338
19,14.144752,6.0236783,76.98702,2.8445432
20,4.944909,83.12116,5.7777233,6.1562085
21,67.156204,4.011407,21.400877,7.431508
22,3.0698721,87.7911,5.5753245,3.5637074
23,81.151665,3.2150388,9.063671,6.569628
24,4.188678,85.11861,5.71617,4.9765363
25,81.638985,2.988572,9.008079,6.3643665
26,8.586715,6.25986,82.46355,2.6898823
27,73.77412,6.104579,12.294019,7.8272796
28,8.597984,5.1489,83.47567,2.7774348
29,6.764453,75.79769,10.6662855,6.7715793
30,7.9707756,5.784406,4.9265375,81.31828
31,5.6892023,4.690244,3.1314769,86.489075
32,20.725521,9.280424,64.40129,5.5927577
33,80.52034,3.0547125,9.487134,6.937806
34,15.248275,52.57649,11.274734,20.900505
35,72.9694,4.849385,13.265795,8.91542
36,5.8398666,4.8273945,3.3743217,85.95842
37,64.66741,5.7274227,20.824404,8.780758
38,6.708268,4.7921853,4.019592,84.479965
39,10.690191,5.7538605,4.1453543,79.41059
40,81.295,2.851513,9.770259,6.0832295
41,5.420307,4.149902,2.7538059,87.67598
42,5.542599,3.6292608,2.8048902,88.02325
43,8.900902,5.7726274,82.46548,2.860996
44,7.4640913,6.2769995,4.1349273,82.123985
45,10.513974,5.277791,4.3732085,79.83503
46,11.5804205,6.9490857,78.577286,2.8932085
47,11.157627,4.9537287,80.93638,2.95227
48,5.483113,4.200866,2.737966,87.57805
49,10.761896,8.919977,76.38444,3.9336898
50,3.3633404,86.86276,5.613786,4.160114
51,11.38678,10.3775015,74.21887,4.016858
52,19.05013,5.082733,69.20497,6.6621723
53,6.256174,4.371349,3.8520083,85.52047
54,9.4323635,48.28088,8.6519,33.63486
55,6.221404,5.8765383,3.4027197,84.49934
56,44.536648,4.3013043,25.36353,25.798521
57,7.2475085,3.940075,3.7501078,85.06232
58,5.0608983,82.803925,7.5227184,4.612463
59,5.244481,3.5015795,2.8069468,88.44699
60,78.832855,4.2741957,9.452446,7.4404945
61,79.62862,3.1130097,11.719052,5.53932
62,3.462424,86.222664,6.5601068,3.7548072
63,3.8896897,86.0929,6.306411,3.7109952
64,3.1626842,87.693825,5.477769,3.6657262
65,6.0053577,5.161977,2.9702165,85.86244
66,74.2965,4.397382,15.294632,6.0114865
67,3.3517663,87.99861,5.2521615,3.3974628
68,9.712873,4.684635,82.85353,2.7489529
69,67.576195,6.7669444,18.743988,6.9128695
70,3.238535,88.25891,4.61993,3.88263
71,3.5113022,87.085365,5.04769,4.3556423
72,77.16272,4.0878234,10.702044,8.047412
73,82.465294,2.903703,8.862444,5.768552
74,47.45747,6.7380295,10.690714,35.113792
75,58.442997,4.9670935,12.234823,24.355087
76,16.585829,6.838412,70.966156,5.609607
77,3.4776103,86.723885,5.020717,4.777786
78,5.6991873,4.935124,2.8113995,86.55429
79,18.858564,50.446423,21.303265,9.39176
80,10.152866,4.1254478,5.1171117,80.604576
81,9.865915,6.736634,80.73809,2.6593595
82,3.3629055,85.66249,6.3569746,4.6176305
83,5.547399,3.5264618,2.6667194,88.25942
84,14.050645,62.440826,14.045885,9.462645
85,3.4441943,87.88952,4.796562,3.869729
86,26.945028,8.870992,56.544155,7.6398296
87,63.296818,8.743057,22.013742,5.946389
88,14.411492,4.439229,75.612274,5.5370026
89,78.93918,3.2809508,9.250695,8.529165
90,13.625204,7.200314,76.04114,3.133338
91,52.24017,9.219174,30.152481,8.388177
92,81.670105,3.4142785,10.221141,4.6944757
93,5.6254287,4.2230244,2.5976653,87.55388
94,77.854126,4.719471,10.809585,6.6168175
95,77.767075,3.5011232,10.7098055,8.022
96,3.3035343,87.816284,5.544184,3.336007
97,4.9536815,83.1526,8.547089,3.346631
98,76.70592,4.405016,11.498277,7.390793
99,81.18931,2.83362,9.974447,6.002622
100,12.13992,49.109997,13.289903,25.460178
