,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
4,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0
5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
6,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
7,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0
8,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0
9,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
10,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
11,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0
12,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0
13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
17,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1
19,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0
20,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
24,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0
25,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
26,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0
27,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1
28,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0
29,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
30,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
31,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
32,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0
33,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
34,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0
35,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
36,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
37,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
38,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
39,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
40,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
41,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1
42,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
43,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
44,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
45,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
46,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
47,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
48,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0
49,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1
50,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
51,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
52,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0
53,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
54,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
56,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
57,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0
58,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
60,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
61,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
62,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
63,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1
