,Divorced,Married,Parther,Separated,Never,Widowed
0,53.53027,9.126491,23.331272,5.531614,5.6286497,2.8517108
1,5.6123533,17.200686,5.002152,28.524601,5.3244233,38.335785
2,16.426275,7.2686377,40.18666,7.388376,25.871944,2.858107
3,57.428837,4.967577,10.557936,5.753928,10.244181,11.047535
4,4.3732615,11.8762665,4.3382115,25.204468,4.8542905,49.353497
5,70.75352,5.311381,9.413375,3.9072697,5.4903946,5.124055
6,8.315169,8.783761,60.16512,11.425766,8.208014,3.1021647
7,5.8939195,3.5335183,11.626754,6.5351524,67.53408,4.8765817
8,7.6499233,9.281078,57.54862,13.47933,8.40343,3.6376266
9,9.176642,12.893994,5.905122,20.766056,4.08574,47.172443
10,4.2384214,15.407172,10.161122,48.058895,5.7271156,16.40727
11,8.101897,6.4627833,28.062218,8.507558,45.73917,3.126373
12,6.876409,4.984496,9.249886,16.12784,15.101379,47.659985
13,5.9406185,22.4011,12.496369,27.658808,23.958038,7.545066
14,6.3913097,18.719635,21.09681,19.676033,29.776218,4.339998
15,5.1294594,45.349087,6.436128,29.799192,3.49356,9.792579
16,6.341163,3.8115468,10.054623,6.1752615,69.00421,4.613196
17,4.9795575,6.611193,7.5442395,21.883791,7.392855,51.588367
18,37.04135,10.162709,34.025734,8.172587,6.877572,3.7200503
19,25.060284,37.51946,11.929222,14.224484,4.9773083,6.2892423
20,30.733152,11.689942,40.50197,8.397037,5.4537115,3.2241814
21,11.494071,32.45767,24.848246,19.858889,7.0025673,4.338565
22,6.4033227,59.583004,11.047466,16.30747,3.6325784,3.0261574
23,8.980849,9.093499,3.8224123,13.742135,3.8203516,60.540752
24,27.425226,8.939322,10.145335,13.515133,9.039912,30.935066
25,55.29235,5.5394397,10.733698,6.1869,11.864886,10.382726
26,19.736668,22.746485,28.180037,17.452044,6.194784,5.689973
27,42.415325,11.299243,10.827971,11.936914,6.0327578,17.487795
28,68.64867,4.9084506,12.37488,4.453776,5.0553865,4.5588427
29,7.613141,13.666311,46.10431,20.464058,7.2946777,4.8574996
30,5.1956897,57.78956,9.599538,18.885687,5.176364,3.3531713
31,13.165493,4.897394,8.780056,11.034098,26.899826,35.223133
32,41.183357,13.801379,28.804457,7.9595046,5.001218,3.2500803
33,6.825855,3.6879144,5.1472015,10.3622,14.467817,59.509014
34,6.315855,16.019909,14.67565,18.772644,38.616802,5.599144
35,7.5296865,5.027963,23.284534,9.083321,50.349796,4.724704
36,4.9812455,31.062311,11.524225,35.12865,10.888381,6.4151883
37,9.488822,26.54661,10.154521,32.941307,4.5666313,16.302105
38,3.9131474,5.8080244,10.27947,11.283876,63.414974,5.300504
39,11.713723,49.63039,10.259287,18.823383,3.3713012,6.2019124
40,14.678266,28.470829,35.282578,14.122512,4.4372296,3.0085895
41,11.683023,10.733743,57.09167,9.349852,8.921866,2.2198422
42,11.329469,25.126726,34.987564,17.211292,7.71409,3.6308606
43,10.540357,17.648458,24.720352,29.766794,8.138372,9.185667
44,4.506231,61.45453,7.50434,19.143412,3.7360826,3.6554043
45,6.762005,26.344028,16.356153,32.342842,11.815388,6.3795795
46,3.6621242,53.9774,7.7445617,26.41698,3.8284988,4.3704276
47,16.016384,49.055355,11.639027,14.868305,3.6139321,4.8069963
48,9.684173,5.5597944,12.3875,9.302499,55.53713,7.5289035
49,6.048881,3.7734601,8.307186,7.1706476,67.504486,7.1953373
50,14.378007,11.568677,43.230316,16.621437,7.651773,6.5497913
51,21.027985,6.262905,10.542592,12.335064,11.611316,38.22014
52,5.461837,57.024147,7.107702,21.880722,3.0594268,5.4661674
53,6.0919466,60.16406,9.923967,16.787577,3.9072878,3.1251662
54,6.7912793,58.90027,9.216926,18.10284,2.9975996,3.9910913
55,8.331082,13.9499235,14.339357,18.061298,38.113194,7.205148
56,9.023013,8.1652355,9.855286,17.084036,35.223083,20.649345
57,5.2661624,39.118015,14.300376,30.569626,6.2055883,4.540238
58,3.7454286,44.951134,7.0500994,33.627205,4.0848517,6.5412784
59,7.370194,21.314785,19.637976,18.258812,29.183214,4.235013
60,5.3231754,3.574178,8.233807,7.432565,67.69618,7.740087
61,4.3631353,4.4184012,2.7162895,10.464857,4.9708366,73.06648
62,18.725206,9.838615,27.360626,17.54126,14.315928,12.218364
63,8.774145,7.539933,64.78886,8.841705,7.46079,2.5945776
64,70.22931,4.9479914,10.880782,3.8359013,5.2666893,4.8393297
65,71.36649,6.1024175,8.955035,4.458875,4.8939667,4.2232113
66,4.4841247,58.016968,7.3681197,22.500975,3.0948436,4.534971
67,6.4502993,36.201794,18.244616,22.051445,13.284702,3.7671466
68,13.728727,18.72439,37.262978,18.83221,6.1135745,5.338113
69,57.25922,6.566997,15.004728,6.8197937,8.019486,6.3297772
70,3.5947814,15.973505,15.91443,44.91401,11.784475,7.818795
71,5.029877,3.796475,7.9251432,8.191917,66.45617,8.600414
