,White,Black,Mexican,Other,Hispanic
0,20.305658,19.968475,20.211111,19.601318,19.91343
1,19.60203,20.030096,19.703133,20.471033,20.193716
2,19.773504,19.771486,19.845585,20.314095,20.295326
3,20.396645,20.312838,20.266666,19.399681,19.624176
4,20.553574,20.220787,20.440733,19.231922,19.552982
5,19.839142,19.727077,19.805197,20.338816,20.289762
6,19.489796,19.66092,19.540804,20.766235,20.54225
7,19.407883,19.714432,19.474516,20.87754,20.525637
8,19.43481,19.789776,19.515299,20.82365,20.436464
9,19.766113,19.82149,19.675463,20.40975,20.327179
10,19.855967,20.027699,19.859367,20.118555,20.138414
11,19.527386,19.75978,19.553907,20.736078,20.42285
12,20.421577,20.377201,20.400696,19.28299,19.51754
13,19.908718,19.914604,19.794865,20.144499,20.23732
14,19.984291,20.39101,19.972525,19.839333,19.81284
15,20.01012,19.857811,20.059795,20.044943,20.027328
16,19.475687,19.912006,19.513783,20.71351,20.385015
17,19.438293,19.687513,19.459715,20.850342,20.564133
18,19.508596,19.943827,19.611465,20.640846,20.295269
19,20.455488,20.169695,20.366882,19.386345,19.621588
20,19.90035,19.88993,19.90817,20.198961,20.102587
21,19.619873,19.745707,19.58058,20.627916,20.42593
22,19.559036,20.015892,19.65691,20.563816,20.204344
23,19.465828,19.904303,19.528988,20.723135,20.37774
24,19.487835,19.890385,19.555016,20.723936,20.34282
25,19.455915,19.712255,19.548956,20.820028,20.462849
26,20.394417,19.927557,20.285166,19.527132,19.865734
27,20.584072,20.199293,20.499777,19.191412,19.525454
28,20.442852,20.20687,20.401812,19.32129,19.627174
29,19.894943,20.063622,19.946497,20.049816,20.04511
30,20.557993,20.300085,20.461033,19.17855,19.502338
31,20.346605,20.09371,20.285606,19.48528,19.7888
32,20.46476,20.120802,20.44061,19.325584,19.64824
33,20.242401,19.982676,20.210743,19.724264,19.839909
34,19.662237,19.963186,19.749638,20.401014,20.22393
35,20.459927,20.134272,20.355494,19.397781,19.652527
36,20.574787,20.19601,20.486753,19.209852,19.532602
37,19.456299,19.839693,19.503979,20.75638,20.443645
38,19.466635,19.863863,19.547503,20.726612,20.395386
39,20.519756,20.152027,20.406595,19.308313,19.613306
40,20.002874,19.734484,20.079847,20.046738,20.136053
41,20.5885,20.239323,20.516087,19.156746,19.499346
42,19.502167,19.883814,19.615482,20.664825,20.333717
43,20.540186,20.28733,20.432177,19.223568,19.516737
44,19.878487,19.699379,19.95303,20.1967,20.272404
45,19.739351,20.037851,19.823952,20.259771,20.139069
46,19.958357,19.861565,19.99777,20.038979,20.14334
47,20.180351,20.250032,20.144672,19.707546,19.717398
48,20.57123,20.242712,20.52127,19.187733,19.477057
49,20.565907,20.345156,20.51677,19.146006,19.426155
50,20.273657,20.07323,20.286304,19.559952,19.806852
51,19.796932,19.708075,19.900377,20.319225,20.27539
52,19.43094,19.80307,19.52442,20.81016,20.431414
53,20.389906,20.066183,20.310112,19.511536,19.722261
54,19.891802,20.172539,20.04045,20.00788,19.887331
55,20.582134,20.176517,20.534508,19.182486,19.524353
56,19.62464,19.835182,19.639204,20.512794,20.388178
57,19.879335,20.02583,19.926203,20.035927,20.13271
58,20.584753,20.24405,20.49686,19.163149,19.511179
59,20.498592,20.158506,20.472857,19.31384,19.556206
60,20.00865,19.967876,20.073862,19.931215,20.018394
61,19.428438,19.786514,19.471556,20.82153,20.491959
62,19.792995,19.841,19.815962,20.27044,20.2796
63,19.431696,19.739084,19.502607,20.823341,20.50327
64,19.764343,20.087736,19.856316,20.216906,20.074697
65,19.971233,20.368685,20.030485,19.858925,19.770674
66,19.463451,19.88764,19.54153,20.728918,20.378462
67,20.422783,20.082874,20.325167,19.463654,19.705528
68,19.484978,19.762701,19.587027,20.730263,20.435028
69,19.793306,19.836407,19.830769,20.359858,20.179663
70,19.68767,19.91508,19.815208,20.378262,20.203785
71,19.93839,19.686495,19.954031,20.155357,20.265724
72,20.342798,20.190948,20.419493,19.466528,19.580236
73,20.159807,20.408215,20.22958,19.600758,19.601646
74,20.56519,20.222998,20.465733,19.21519,19.530891
75,19.597275,19.783337,19.597479,20.575232,20.446674
76,19.548452,19.844204,19.626575,20.605642,20.37513
77,19.668829,19.58735,19.637548,20.598349,20.507923
78,20.560938,20.23413,20.52926,19.17502,19.500648
79,19.875465,19.793182,19.979235,20.161972,20.190144
80,20.241411,19.991755,20.23097,19.721878,19.813984
81,20.539886,20.19285,20.450151,19.262192,19.554924
82,19.53505,19.633257,19.54674,20.727503,20.557444
83,19.568733,19.822077,19.700262,20.587482,20.321444
84,20.582766,20.266443,20.5151,19.149382,19.486307
85,19.433676,19.744589,19.527985,20.819515,20.474236
86,20.43318,20.172237,20.383068,19.348543,19.66297
87,19.486706,19.851603,19.605518,20.705788,20.35038
88,20.500889,20.345964,20.425793,19.249266,19.478086
89,20.154963,20.193253,20.230696,19.656363,19.764727
90,20.549513,20.369986,20.498802,19.156736,19.424961
91,19.674978,19.58128,19.722988,20.55454,20.466204
92,20.559416,20.25978,20.541906,19.183245,19.455654
93,20.085823,20.27592,20.070051,19.73522,19.832983
94,20.246248,20.449287,20.254208,19.484941,19.565325
95,20.485998,20.00416,20.38734,19.392536,19.729965
96,19.659721,20.121716,19.76624,20.361267,20.091059
97,19.602867,19.898396,19.636377,20.515844,20.34651
98,20.531168,20.056301,20.473753,19.292088,19.646692
99,19.711456,19.882145,19.711046,20.458008,20.237345
100,19.96083,20.160686,20.111202,19.922016,19.84527
101,20.078682,19.723047,20.068962,19.97664,20.152657
102,19.417603,19.671616,19.471653,20.882174,20.556957
103,19.554186,19.87968,19.643982,20.58548,20.336666
104,20.576017,20.316767,20.50102,19.152872,19.453323
105,20.56868,20.189276,20.462992,19.20987,19.56919
106,19.581043,20.045025,19.663704,20.500813,20.209423
107,20.564438,20.115852,20.509855,19.240553,19.569305
108,20.018517,20.069069,19.933342,19.911163,20.067913
109,20.218422,20.097994,20.326803,19.612452,19.744326
110,19.793262,20.053831,19.84628,20.190142,20.11649
111,20.298819,19.888083,20.180956,19.687132,19.945011
112,19.6671,20.028172,19.728178,20.377028,20.199528
113,20.5345,20.360004,20.469574,19.192049,19.443876
114,19.438185,19.64675,19.508467,20.856615,20.549988
115,19.481956,19.735235,19.480728,20.801378,20.500698
116,19.413498,19.764748,19.459946,20.857964,20.503847
117,20.137276,19.976719,20.060795,19.798435,20.02677
118,20.11867,20.004356,20.159508,19.862274,19.855188
119,20.378231,20.179169,20.417757,19.446657,19.578194
120,19.46231,19.664942,19.551882,20.814037,20.506823
