,White,Black,Mexican,Other,Hispanic
0,76.19153,5.4289637,11.348053,2.5451562,4.4862976
1,35.631046,20.025444,16.59349,11.655138,16.09488
2,80.33006,4.165643,8.461038,2.3626268,4.6806355
3,5.0329866,81.0879,4.8834677,5.0780077,3.9176404
4,14.194536,4.3061666,73.08062,3.2319672,5.186717
5,4.1863337,82.42266,4.388987,6.3097744,2.6922421
6,57.496864,16.946537,11.062794,5.0883603,9.405441
7,45.734646,14.587897,17.411037,12.165546,10.10087
8,7.5473094,3.60629,10.820193,5.714791,72.31142
9,3.9017358,83.9714,3.333885,5.8657737,2.927209
10,6.2710443,5.3587255,6.1827703,13.673024,68.51443
11,2.916669,6.1397357,6.5998383,78.288826,6.054932
12,4.246726,82.89393,3.9145331,6.1107936,2.8340209
13,2.2213447,5.6645727,3.8106055,82.1989,6.1045723
14,12.448371,5.0539613,15.765177,6.811674,59.92082
15,3.1727455,6.378522,3.6120276,80.00922,6.8274846
16,5.4496517,5.238245,6.4758763,8.451228,74.385
17,6.8318753,3.449034,5.8761168,6.039524,77.803444
18,8.772586,3.0641336,77.99164,4.4806604,5.6909876
19,79.87386,4.3449445,8.453704,2.4043884,4.923104
20,76.51908,4.5350537,8.7558,3.1829867,7.0070887
21,80.852264,3.6755018,9.2953205,2.2618287,3.915083
22,5.8368034,4.004044,4.736004,7.6927314,77.73042
23,79.59839,3.980907,9.713937,2.5811992,4.1255655
24,26.767925,5.49507,57.246502,3.866075,6.6244326
25,5.2364087,83.28447,3.4660034,4.737865,3.2752554
26,12.473243,72.501564,6.062619,5.3442683,3.618302
27,13.372621,2.8853369,72.2892,4.0449862,7.4078584
28,71.4824,3.3777285,15.705627,3.1774387,6.2568097
29,79.21394,3.7334285,10.492289,2.168135,4.392196
30,59.941708,6.9508805,18.576487,7.2734737,7.257442
31,55.338333,8.523043,14.696249,5.095317,16.347057
32,79.65095,4.09985,9.131042,2.2588377,4.8593254
33,78.52595,5.2162385,8.71192,2.7054942,4.8404036
