,2,3,4
Lasso,0.33584750164267924,0.5149848850971557,0.686560412934423
Std Lasso,0.06091621472990602,0.058261538943857626,0.03105166259928127
VAE,0.054533301503938876,0.0884375746001432,0.12444736213893526
Std VAE,0.03602868807335926,0.035253723145533704,0.017193490136751165
