,2,3,4
Lasso,0.3323652273664247,0.52520688823262,0.691120780638421
Std Lasso,0.04534570996073205,0.045224793168077544,0.029433714909006054
VAE,0.18030556218667942,0.2594652661733111,0.3159584626402483
Std VAE,0.09296634406389132,0.07909140234082353,0.028645084812460822
