,2,3,4
Lasso,0.35329185416851894,0.5273551534593475,0.6745654904904906
Std Lasso,0.05412147588775201,0.048936014748047874,0.037785059149959783
VAE,0.4453449510623063,0.5678598710909529,0.6182107901647163
Std VAE,0.1672822616866416,0.13852279436678003,0.06143867571925467
